"Rank","Player","Age","Tm","First","Pts.Won","Pts.Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","Season","Team.Wins","MVP"
3,"Kobe Bryant",28,"LAL",2,521,1290,0.404,0.9390244,0.997555,1,0.4453125,0.4655172,0.6666667,0.20833333,0.7834179,0.344,0.960177,13,0.7158273,2007,42,FALSE
4,"Tim Duncan",30,"SAS",0,286,1290,0.222,0.9756098,0.8337408,0.6329114,0.828125,0.2931034,0.3809524,1,0.9238579,0.111,0.704646,13,0.8273381,2007,58,FALSE
5,"LeBron James",22,"CLE",0,183,1290,0.142,0.9512195,1,0.8639241,0.5234375,0.5172414,0.7619048,0.29166667,0.8054146,0.319,0.7721239,13.7,0.7410072,2007,50,FALSE
6,"Tracy McGrady",27,"HOU",0,110,1290,0.085,0.8658537,0.8753056,0.778481,0.4140625,0.5603448,0.6190476,0.20833333,0.7292724,0.331,0.7820796,8.6,0.5863309,2007,52,FALSE
7,"Chris Bosh",22,"TOR",0,43,1290,0.033,0.8414634,0.9413203,0.7151899,0.8359375,0.2155172,0.2857143,0.54166667,0.8392555,0.343,0.8683628,9.6,0.6258993,2007,47,FALSE
8,"Gilbert Arenas",25,"WAS",0,31,1290,0.024,0.902439,0.9731051,0.8987342,0.359375,0.5172414,0.9047619,0.08333333,0.7072758,0.351,0.9336283,10.8,0.6366906,2007,41,FALSE
9,"Kevin Garnett",30,"MIN",0,7,1290,0.005,0.9268293,0.9633252,0.7088608,1,0.3534483,0.5714286,0.70833333,0.8054146,0.214,0.9236726,10.7,0.6151079,2007,32,FALSE
11,"Chauncey Billups",30,"DET",0,4,1290,0.003,0.8536585,0.8850856,0.5379747,0.265625,0.6206897,0.5714286,0.08333333,0.7225042,0.345,0.9767699,11.4,0.7769784,2007,53,FALSE
12,"Dwyane Wade",25,"MIA",0,3,1290,0.002,0.6219512,0.9266504,0.8670886,0.3671875,0.6465517,1,0.5,0.8307953,0.266,0.8926991,8.8,0.7877698,2007,44,FALSE
14,"Amar'e Stoudemire",24,"PHO",0,2,1290,0.002,1,0.801956,0.6455696,0.75,0.0862069,0.4761905,0.54166667,0.9729272,0,0.8639381,11.2,0.7230216,2007,61,FALSE
15,"Carmelo Anthony",22,"DEN",0,1,1290,0.001,0.7926829,0.9339853,0.914557,0.46875,0.3275862,0.5714286,0.16666667,0.8054146,0.268,0.8938053,7.3,0.5035971,2007,45,FALSE
15,"Baron Davis",27,"GSW",0,1,1290,0.001,0.7682927,0.8630807,0.6360759,0.34375,0.6982759,1,0.20833333,0.7428088,0.304,0.824115,6.4,0.5,2007,42,FALSE
15,"Tony Parker",24,"SAS",0,1,1290,0.001,0.9390244,0.794621,0.5886076,0.25,0.4741379,0.5238095,0.04166667,0.8798646,0.395,0.8661504,9.6,0.6654676,2007,58,FALSE
1,"Kobe Bryant",29,"LAL",82,1100,1260,0.873,1,0.9628713,0.9433333,0.443662,0.4655172,0.6666667,0.23809524,0.7662771,0.361,0.9271523,13.8,0.7323944,2008,57,TRUE
2,"Chris Paul",22,"NOH",28,894,1260,0.71,0.9756098,0.9306931,0.7033333,0.2816901,1,1,0.04761905,0.8146912,0.369,0.9392936,17.8,1,2008,56,FALSE
3,"Kevin Garnett",31,"BOS",15,670,1260,0.532,0.8658537,0.8118812,0.6266667,0.6478873,0.2931034,0.5185185,0.61904762,0.8998331,0,0.884106,12.9,0.9330986,2008,66,FALSE
4,"LeBron James",23,"CLE",1,438,1260,0.348,0.9146341,1,1,0.556338,0.6206897,0.6666667,0.52380952,0.8080134,0.315,0.785872,15.2,0.8521127,2008,45,FALSE
5,"Dwight Howard",22,"ORL",0,60,1260,0.048,1,0.9331683,0.69,1,0.112069,0.3333333,1,1,0,0.6512141,12.9,0.7042254,2008,52,FALSE
6,"Amar'e Stoudemire",25,"PHO",0,27,1260,0.021,0.9634146,0.8391089,0.84,0.6408451,0.1293103,0.2962963,1,0.984975,0.161,0.888521,14.6,0.9225352,2008,55,FALSE
7,"Tim Duncan",31,"SAS",0,25,1260,0.02,0.9512195,0.8415842,0.6433333,0.7957746,0.2413793,0.2592593,0.9047619,0.8297162,0,0.8057395,11.1,0.7077465,2008,56,FALSE
8,"Tracy McGrady",28,"HOU",0,19,1260,0.015,0.804878,0.9158416,0.72,0.3591549,0.5086207,0.3703704,0.23809524,0.6994992,0.292,0.7549669,5.8,0.4049296,2008,55,FALSE
9,"Steve Nash",33,"PHO",0,18,1260,0.014,0.9878049,0.8490099,0.5633333,0.2464789,0.9568966,0.2592593,0.04761905,0.8414023,0.47,1,10.5,0.6373239,2008,55,FALSE
10,"Manu Ginobili",30,"SAS",0,9,1260,0.007,0.902439,0.769802,0.65,0.3380282,0.387931,0.5555556,0.19047619,0.7679466,0.401,0.9492274,11.1,0.8169014,2008,56,FALSE
11,"Dirk Nowitzki",29,"DAL",0,5,1260,0.004,0.9390244,0.8910891,0.7866667,0.6056338,0.3017241,0.2592593,0.42857143,0.7996661,0.359,0.9701987,12.9,0.7852113,2008,51,FALSE
12,"Deron Williams",23,"UTA",0,4,1260,0.003,1,0.9232673,0.6266667,0.2112676,0.9051724,0.4074074,0.14285714,0.8464107,0.395,0.8863135,11.3,0.6232394,2008,54,FALSE
13,"Carmelo Anthony",23,"DEN",0,3,1260,0.002,0.9390244,0.9009901,0.8566667,0.5211268,0.2931034,0.4814815,0.23809524,0.8213689,0.354,0.8675497,8.2,0.4929577,2008,50,FALSE
14,"Carlos Boozer",26,"UTA",0,1,1260,0.001,0.9878049,0.8638614,0.7033333,0.7323944,0.25,0.4444444,0.23809524,0.9131886,0,0.8145695,10.2,0.6091549,2008,54,FALSE
14,"Antawn Jamison",31,"WAS",0,1,1260,0.001,0.9634146,0.9579208,0.7133333,0.7183099,0.1293103,0.4814815,0.19047619,0.7278798,0.339,0.8388521,9.2,0.5070423,2008,43,FALSE
14,"Paul Pierce",30,"BOS",0,1,1260,0.001,0.9756098,0.8886139,0.6533333,0.3591549,0.387931,0.4814815,0.23809524,0.7746244,0.392,0.9304636,12.4,0.7288732,2008,66,FALSE
14,"Rasheed Wallace",33,"DET",0,1,1260,0.001,0.9390244,0.7549505,0.4233333,0.4647887,0.1551724,0.4444444,0.80952381,0.721202,0.356,0.8465784,7.6,0.5457746,2008,59,FALSE
1,"LeBron James",24,"CLE",109,1172,1210,0.969,0.9878049,0.9766839,0.9403974,0.5507246,0.6545455,0.6071429,0.37931034,0.8548951,0.344,0.8543264,20.3,1,2009,66,TRUE
2,"Kobe Bryant",30,"LAL",2,698,1210,0.577,1,0.9352332,0.8874172,0.3768116,0.4454545,0.5357143,0.17241379,0.8164336,0.351,0.9375685,12.7,0.6477987,2009,65,FALSE
3,"Dwyane Wade",27,"MIA",7,680,1210,0.562,0.9634146,1,1,0.3623188,0.6818182,0.7857143,0.44827586,0.8583916,0.317,0.837897,14.7,0.7295597,2009,43,FALSE
4,"Dwight Howard",23,"ORL",1,328,1210,0.271,0.9634146,0.9248705,0.6821192,1,0.1272727,0.3571429,1,1,0,0.6506024,13.8,0.7358491,2009,59,FALSE
5,"Chris Paul",23,"NOH",2,192,1210,0.159,0.9512195,0.9974093,0.7549669,0.3985507,1,1,0.03448276,0.8793706,0.364,0.9507119,18.3,0.918239,2009,49,FALSE
7,"Paul Pierce",31,"BOS",0,21,1210,0.017,0.9878049,0.9715026,0.6788079,0.4057971,0.3272727,0.3571429,0.10344828,0.798951,0.391,0.9090909,10.3,0.5157233,2009,62,FALSE
8,"Tony Parker",26,"SAS",0,9,1210,0.007,0.8780488,0.8834197,0.7284768,0.2246377,0.6272727,0.3214286,0.03448276,0.8846154,0.292,0.856517,8.6,0.5283019,2009,54,FALSE
9,"Brandon Roy",24,"POR",0,7,1210,0.006,0.9512195,0.9637306,0.7483444,0.3405797,0.4636364,0.3928571,0.10344828,0.8391608,0.377,0.9025192,13.5,0.7012579,2009,54,FALSE
10,"Dirk Nowitzki",30,"DAL",0,3,1210,0.002,0.9878049,0.9766839,0.8576159,0.6086957,0.2181818,0.2857143,0.27586207,0.8374126,0.359,0.9748083,10.9,0.5377358,2009,50,FALSE
11,"Tim Duncan",32,"SAS",0,2,1210,0.002,0.9146341,0.873057,0.6390728,0.7753623,0.3181818,0.1785714,0.5862069,0.8811189,0,0.7579409,10.1,0.6006289,2009,54,FALSE
12,"Yao Ming",28,"HOU",0,1,1210,0.001,0.9390244,0.8704663,0.6523179,0.7173913,0.1636364,0.1428571,0.65517241,0.958042,1,0.9485214,10.6,0.6163522,2009,53,FALSE
1,"LeBron James",25,"CLE",116,1205,1230,0.98,0.9268293,0.9873418,0.986711,0.5530303,0.78181818,0.8888889,0.35714286,0.8218954,0.333,0.8176972,18.5,1,2010,61,TRUE
2,"Kevin Durant",21,"OKC",4,609,1230,0.495,1,1,1,0.5757576,0.25454545,0.7777778,0.35714286,0.7777778,0.365,0.9594883,16.1,0.7959866,2010,50,FALSE
3,"Kobe Bryant",31,"LAL",0,599,1230,0.487,0.8902439,0.9822785,0.89701,0.4090909,0.45454545,0.8333333,0.10714286,0.745098,0.329,0.8646055,9.4,0.5351171,2010,57,FALSE
4,"Dwight Howard",24,"ORL",3,478,1230,0.389,1,0.878481,0.6079734,1,0.16363636,0.5,1,1,0,0.6311301,13.2,0.7458194,2010,59,FALSE
5,"Dwyane Wade",28,"MIA",0,119,1230,0.097,0.9390244,0.9189873,0.8837209,0.3636364,0.59090909,1,0.39285714,0.7777778,0.3,0.8113006,13,0.7491639,2010,47,FALSE
6,"Carmelo Anthony",25,"DEN",0,65,1230,0.053,0.8414634,0.9670886,0.9368771,0.5,0.29090909,0.7222222,0.14285714,0.748366,0.316,0.8848614,7.9,0.4849498,2010,53,FALSE
7,"Dirk Nowitzki",31,"DAL",0,55,1230,0.045,0.9878049,0.9493671,0.8305648,0.5833333,0.24545455,0.5,0.35714286,0.7859477,0.421,0.9754797,12.3,0.6488294,2010,55,FALSE
8,"Steve Nash",35,"PHO",0,49,1230,0.04,0.9878049,0.8303797,0.5481728,0.25,1,0.2777778,0.03571429,0.8284314,0.426,1,9.9,0.5953177,2010,54,FALSE
9,"Deron Williams",25,"UTA",0,7,1230,0.006,0.9268293,0.9341772,0.6212625,0.3030303,0.95454545,0.7222222,0.07142857,0.7663399,0.371,0.8539446,10.3,0.5919732,2010,53,FALSE
10,"Amar'e Stoudemire",27,"PHO",0,5,1230,0.004,1,0.8759494,0.7674419,0.6742424,0.09090909,0.3333333,0.35714286,0.9101307,0.167,0.8219616,10.7,0.6053512,2010,54,FALSE
11,"Manu Ginobili",32,"SAS",0,3,1230,0.002,0.9146341,0.7265823,0.5481728,0.2878788,0.44545455,0.7777778,0.10714286,0.7205882,0.377,0.9275053,9.7,0.722408,2010,50,FALSE
12,"Chauncey Billups",33,"DEN",0,1,1230,0.001,0.8902439,0.8632911,0.6478405,0.2348485,0.50909091,0.6111111,0.03571429,0.6830065,0.386,0.9701493,9.5,0.6086957,2010,53,FALSE
12,"Chris Bosh",25,"TOR",0,1,1230,0.001,0.8536585,0.9139241,0.7973422,0.8181818,0.21818182,0.3333333,0.35714286,0.8464052,0.364,0.8496802,9.6,0.6086957,2010,40,FALSE
12,"Joe Johnson",28,"ATL",0,1,1230,0.001,0.9268293,0.9620253,0.7076412,0.3484848,0.44545455,0.6111111,0.03571429,0.748366,0.369,0.8720682,8.4,0.4682274,2010,53,FALSE
1,"Derrick Rose",22,"CHI",113,1182,1210,0.977,0.9878049,0.9614396,0.9025271,0.2907801,0.6875,0.4166667,0.25,0.7504216,0.332,0.9618834,13.1,0.852459,2011,62,TRUE
2,"Dwight Howard",25,"ORL",3,643,1210,0.531,0.9512195,0.966581,0.8267148,1,0.125,0.5833333,1,1,0,0.6681614,14.4,0.9631148,2011,52,FALSE
3,"LeBron James",26,"MIA",4,522,1210,0.431,0.9634146,0.9974293,0.9638989,0.5319149,0.625,0.6666667,0.25,0.8600337,0.33,0.8508969,15.6,1,2011,58,FALSE
4,"Kobe Bryant",32,"LAL",1,428,1210,0.354,1,0.8714653,0.9133574,0.3617021,0.4196429,0.5,0.04166667,0.7605396,0.323,0.9282511,10.3,0.7295082,2011,57,FALSE
5,"Kevin Durant",22,"OKC",0,190,1210,0.157,0.9512195,1,1,0.4822695,0.2410714,0.4583333,0.41666667,0.7790894,0.35,0.9865471,12,0.7745902,2011,55,FALSE
6,"Dirk Nowitzki",32,"DAL",0,113,1210,0.093,0.8902439,0.8817481,0.8303249,0.4964539,0.2321429,0.2083333,0.25,0.8718381,0.393,1,11.1,0.8729508,2011,57,FALSE
7,"Dwyane Wade",29,"MIA",0,24,1210,0.02,0.9268293,0.9537275,0.9205776,0.4539007,0.4107143,0.625,0.45833333,0.8431703,0.306,0.8497758,12.8,0.8934426,2011,58,FALSE
8,"Manu Ginobili",33,"SAS",0,20,1210,0.017,0.9756098,0.7789203,0.6281588,0.2624113,0.4375,0.625,0.16666667,0.7301855,0.349,0.9764574,9.9,0.7991803,2011,61,FALSE
9,"Amar'e Stoudemire",28,"NYK",0,9,1210,0.007,0.9512195,0.9460154,0.9133574,0.5815603,0.2321429,0.375,0.79166667,0.846543,0.435,0.8878924,8,0.5491803,2011,42,FALSE
10,"Blake Griffin",21,"LAC",0,5,1210,0.004,1,0.9768638,0.8122744,0.858156,0.3392857,0.3333333,0.20833333,0.8532884,0.292,0.7197309,9.8,0.6229508,2011,32,FALSE
10,"Rajon Rondo",24,"BOS",0,5,1210,0.004,0.8292683,0.9562982,0.3826715,0.3120567,1,0.9583333,0.08333333,0.8010118,0.233,0.6367713,6.6,0.5163934,2011,56,FALSE
12,"Tony Parker",28,"SAS",0,3,1210,0.002,0.9512195,0.8329049,0.631769,0.2198582,0.5892857,0.5,0,0.8752108,0.357,0.8621076,8.2,0.6393443,2011,61,FALSE
13,"Chris Paul",25,"NOH",0,2,1210,0.002,0.9756098,0.9254499,0.5740072,0.2907801,0.875,1,0.04166667,0.7807757,0.388,0.9843049,13.9,0.9508197,2011,46,FALSE
1,"LeBron James",27,"MIA",85,1074,1210,0.888,0.9393939,0.9615385,0.9678571,0.5448276,0.5299145,0.76,0.38095238,0.9267016,0.362,0.8604911,14.5,1,2012,46,TRUE
2,"Kevin Durant",23,"OKC",24,889,1210,0.735,1,0.9897436,1,0.5517241,0.2991453,0.52,0.57142857,0.8656195,0.387,0.9598214,12.2,0.7718121,2012,47,FALSE
3,"Chris Paul",26,"LAC",6,385,1210,0.318,0.9090909,0.9333333,0.7071429,0.2482759,0.7777778,1,0.04761905,0.8342059,0.371,0.9609375,12.7,0.9328859,2012,40,FALSE
4,"Kobe Bryant",33,"LAL",2,352,1210,0.291,0.8787879,0.9871795,0.9964286,0.3724138,0.3931624,0.48,0.14285714,0.7504363,0.303,0.9430804,6.2,0.442953,2012,41,FALSE
5,"Tony Parker",29,"SAS",4,331,1210,0.274,0.9090909,0.8230769,0.6535714,0.2,0.6581197,0.4,0.04761905,0.8376963,0.23,0.8917411,7.1,0.5939597,2012,50,FALSE
6,"Kevin Love",23,"MIN",0,58,1210,0.048,0.8333333,1,0.9285714,0.9172414,0.1709402,0.36,0.23809524,0.7818499,0.372,0.9196429,10,0.7483221,2012,26,FALSE
7,"Dwight Howard",26,"ORL",0,13,1210,0.011,0.8181818,0.9820513,0.7357143,1,0.1623932,0.6,1,1,0,0.5479911,7.7,0.6006711,2012,37,FALSE
8,"Rajon Rondo",25,"BOS",0,12,1210,0.01,0.8030303,0.9461538,0.425,0.3310345,1,0.72,0.04761905,0.7818499,0.238,0.6662946,4.9,0.4060403,2012,39,FALSE
9,"Steve Nash",37,"PHO",0,7,1210,0.006,0.9393939,0.8102564,0.4464286,0.2068966,0.9145299,0.24,0.04761905,0.9284468,0.39,0.9977679,5.9,0.4832215,2012,33,FALSE
10,"Dwyane Wade",30,"MIA",0,6,1210,0.005,0.7424242,0.8512821,0.7892857,0.3310345,0.3931624,0.68,0.61904762,0.8673647,0.268,0.8828125,7.7,0.761745,2012,46,FALSE
11,"Derrick Rose",23,"CHI",0,5,1210,0.004,0.5909091,0.9051282,0.7785714,0.2344828,0.6752137,0.36,0.33333333,0.7591623,0.312,0.90625,6,0.7080537,2012,50,FALSE
12,"Dirk Nowitzki",33,"DAL",0,4,1210,0.003,0.9393939,0.8589744,0.7714286,0.462069,0.1880342,0.28,0.23809524,0.7975567,0.368,1,7.6,0.5872483,2012,36,FALSE
12,"Russell Westbrook",23,"OKC",0,4,1210,0.003,1,0.9051282,0.8428571,0.3172414,0.4700855,0.68,0.14285714,0.7975567,0.316,0.9185268,7.9,0.5469799,2012,47,FALSE
14,"Tim Duncan",35,"SAS",0,3,1210,0.002,0.8787879,0.7230769,0.55,0.6206897,0.1965812,0.28,0.71428571,0.8586387,0,0.7756696,5.9,0.5838926,2012,50,FALSE
15,"Joe Johnson",30,"ATL",0,1,1210,0.001,0.9090909,0.9102564,0.6714286,0.2551724,0.3333333,0.32,0.0952381,0.7923211,0.388,0.9475446,6.4,0.4865772,2012,40,FALSE
1,"LeBron James",28,"MIA",120,1207,1210,0.998,0.9268293,0.9818653,0.9337979,0.7142857,0.7525773,0.7083333,0.33333333,1,0.406,0.8320442,19.3,1,2013,66,TRUE
2,"Kevin Durant",24,"OKC",0,765,1210,0.632,0.9878049,0.9974093,0.9790941,0.7053571,0.4742268,0.5833333,0.48148148,0.9026549,0.416,1,18.9,0.9037267,2013,60,FALSE
3,"Carmelo Anthony",28,"NYK",1,475,1210,0.393,0.8170732,0.9585492,1,0.6160714,0.2680412,0.3333333,0.18518519,0.7946903,0.379,0.9171271,9.5,0.5714286,2013,54,FALSE
4,"Chris Paul",27,"LAC",0,289,1210,0.239,0.8536585,0.865285,0.5888502,0.3303571,1,1,0.03703704,0.8513274,0.328,0.9779006,13.9,0.8913043,2013,56,FALSE
5,"Kobe Bryant",34,"LAL",0,184,1210,0.152,0.9512195,1,0.9512195,0.5,0.6185567,0.5833333,0.11111111,0.819469,0.324,0.9270718,10.9,0.5403727,2013,45,FALSE
6,"Tony Parker",30,"SAS",0,86,1210,0.071,0.804878,0.8523316,0.7073171,0.2678571,0.7835052,0.3333333,0.03703704,0.9238938,0.353,0.9337017,9.3,0.6397516,2013,58,FALSE
7,"Tim Duncan",36,"SAS",0,65,1210,0.054,0.8414634,0.7797927,0.6202091,0.8839286,0.2783505,0.2916667,1,0.8884956,0.286,0.9027624,8.3,0.5931677,2013,58,FALSE
8,"James Harden",23,"HOU",0,33,1210,0.027,0.9512195,0.992228,0.902439,0.4375,0.5979381,0.75,0.18518519,0.7752212,0.368,0.9403315,12.8,0.6397516,2013,45,FALSE
9,"Russell Westbrook",24,"OKC",0,9,1210,0.007,1,0.9041451,0.8083624,0.4642857,0.7628866,0.75,0.11111111,0.7752212,0.323,0.8839779,11.6,0.6055901,2013,60,FALSE
10,"Dwyane Wade",31,"MIA",0,5,1210,0.004,0.8414634,0.8989637,0.738676,0.4464286,0.5257732,0.7916667,0.2962963,0.9221239,0.258,0.801105,9.6,0.5962733,2013,66,FALSE
11,"Stephen Curry",24,"GSW",0,3,1210,0.002,0.9512195,0.9896373,0.7979094,0.3571429,0.7113402,0.6666667,0.07407407,0.7982301,0.453,0.9944751,11.2,0.5590062,2013,47,FALSE
12,"Kevin Garnett",36,"BOS",0,1,1210,0.001,0.8292683,0.7694301,0.5156794,0.6964286,0.2371134,0.4583333,0.33333333,0.8778761,0.125,0.8685083,5.6,0.4130435,2013,41,FALSE
12,"Marc Gasol",28,"MEM",0,1,1210,0.001,0.9756098,0.9067358,0.4912892,0.6964286,0.4123711,0.4166667,0.62962963,0.8743363,0.071,0.9370166,11.5,0.6118012,2013,56,FALSE
12,"Ty Lawson",25,"DEN",0,1,1210,0.001,0.8902439,0.8911917,0.5818815,0.2410714,0.7113402,0.625,0.03703704,0.8159292,0.366,0.8353591,7.4,0.4378882,2013,57,FALSE
12,"David Lee",29,"GSW",0,1,1210,0.001,0.9634146,0.9533679,0.6445993,1,0.3608247,0.3333333,0.11111111,0.9185841,0,0.880663,9.1,0.4658385,2013,47,FALSE
12,"Joakim Noah",27,"CHI",0,1,1210,0.001,0.804878,0.9533679,0.4146341,0.9910714,0.4123711,0.5,0.77777778,0.8513274,0,0.8298343,7.3,0.4503106,2013,45,FALSE
1,"Kevin Durant",25,"OKC",119,1232,1250,0.986,1,0.994832,1,0.592,0.5140187,0.52,0.36842105,0.8871252,0.391,0.971079,19.2,1,2014,59,TRUE
2,"LeBron James",29,"MIA",6,891,1250,0.713,0.9506173,0.9741602,0.846875,0.552,0.588785,0.64,0.15789474,1,0.379,0.8342603,15.9,0.8949153,2014,54,FALSE
3,"Blake Griffin",24,"LAC",0,434,1250,0.347,0.9876543,0.9250646,0.753125,0.76,0.364486,0.48,0.31578947,0.9312169,0.273,0.7953281,12.2,0.6949153,2014,57,FALSE
4,"Joakim Noah",28,"CHI",0,322,1250,0.258,0.9876543,0.9121447,0.39375,0.904,0.5046729,0.48,0.78947368,0.8377425,0,0.8197998,11.2,0.6440678,2014,48,FALSE
5,"James Harden",24,"HOU",0,85,1250,0.068,0.9012346,0.9819121,0.79375,0.376,0.5700935,0.64,0.21052632,0.8042328,0.366,0.9632925,12.8,0.7491525,2014,54,FALSE
6,"Stephen Curry",25,"GSW",0,66,1250,0.053,0.962963,0.9431525,0.75,0.344,0.7943925,0.64,0.10526316,0.8306878,0.424,0.9844271,13.4,0.7627119,2014,51,FALSE
7,"Chris Paul",28,"LAC",0,45,1250,0.036,0.7654321,0.9043928,0.596875,0.344,1,1,0.05263158,0.8236332,0.368,0.9510567,12.2,0.9152542,2014,57,FALSE
8,"Al Jefferson",29,"CHA",0,34,1250,0.027,0.9012346,0.9043928,0.68125,0.864,0.1962617,0.36,0.57894737,0.8977072,0.2,0.7675195,7.8,0.4949153,2014,43,FALSE
9,"Paul George",23,"IND",0,33,1250,0.026,0.9876543,0.9354005,0.678125,0.544,0.3271028,0.76,0.15789474,0.7477954,0.364,0.9610679,10.8,0.6033898,2014,56,FALSE
10,"LaMarcus Aldridge",28,"POR",0,26,1250,0.021,0.8518519,0.9354005,0.725,0.888,0.2429907,0.36,0.52631579,0.8077601,0.2,0.9143493,7.5,0.4881356,2014,54,FALSE
11,"Kevin Love",25,"MIN",0,25,1250,0.02,0.9506173,0.9379845,0.815625,1,0.411215,0.32,0.26315789,0.8059965,0.376,0.9132369,14.3,0.8305085,2014,40,FALSE
12,"Tim Duncan",37,"SAS",0,21,1250,0.017,0.9135802,0.754522,0.471875,0.776,0.2803738,0.24,1,0.8641975,0,0.8131257,7.4,0.5559322,2014,62,FALSE
12,"Tony Parker",31,"SAS",0,21,1250,0.017,0.8395062,0.7596899,0.521875,0.184,0.5327103,0.2,0.05263158,0.8800705,0.373,0.9021135,5.9,0.4779661,2014,62,FALSE
14,"Dirk Nowitzki",35,"DAL",0,7,1250,0.006,0.9876543,0.8501292,0.678125,0.496,0.2523364,0.36,0.31578947,0.8765432,0.398,1,10.9,0.6745763,2014,49,FALSE
15,"Carmelo Anthony",29,"NYK",0,4,1250,0.003,0.9506173,1,0.85625,0.648,0.2897196,0.48,0.36842105,0.7971781,0.402,0.9432703,10.7,0.5830508,2014,37,FALSE
16,"Goran Dragic",27,"PHO",0,3,1250,0.002,0.9382716,0.9069767,0.634375,0.256,0.5514019,0.56,0.15789474,0.8906526,0.408,0.8453838,10.3,0.6305085,2014,48,FALSE
17,"Mike Conley",26,"MEM",0,1,1250,0.001,0.9012346,0.8656331,0.5375,0.232,0.5607477,0.6,0.10526316,0.7936508,0.361,0.9065628,8.2,0.5457627,2014,50,FALSE
1,"Stephen Curry",26,"GSW",100,1198,1300,0.922,0.9756098,0.888587,0.8469751,0.4215686,0.754902,0.8695652,0.06896552,0.9102804,0.443,1,15.7,1,2015,67,TRUE
2,"James Harden",25,"HOU",25,936,1300,0.72,0.9878049,1,0.975089,0.5588235,0.6862745,0.826087,0.24137931,0.8224299,0.375,0.9496718,16.4,0.9201389,2015,56,FALSE
3,"LeBron James",30,"CLE",5,552,1300,0.425,0.8414634,0.9809783,0.9003559,0.5882353,0.7254902,0.6956522,0.24137931,0.9121495,0.354,0.7768053,10.4,0.6909722,2015,53,FALSE
4,"Russell Westbrook",26,"OKC",0,352,1300,0.271,0.8170732,0.9347826,1,0.7156863,0.8431373,0.9130435,0.06896552,0.7962617,0.299,0.9135667,10.6,0.7708333,2015,45,FALSE
5,"Anthony Davis",21,"NOP",0,203,1300,0.156,0.8292683,0.9809783,0.8683274,1,0.2156863,0.6521739,1,1,0.083,0.880744,14,0.9513889,2015,45,FALSE
6,"Chris Paul",29,"LAC",0,124,1300,0.095,1,0.9456522,0.6797153,0.4509804,1,0.826087,0.06896552,0.9065421,0.398,0.9846827,16.1,0.9375,2015,56,FALSE
7,"LaMarcus Aldridge",29,"POR",0,6,1300,0.005,0.8658537,0.9619565,0.8327402,1,0.1666667,0.3043478,0.34482759,0.871028,0.352,0.9245077,8.6,0.5729167,2015,51,FALSE
8,"Marc Gasol",30,"MEM",0,3,1300,0.002,0.9878049,0.9021739,0.6192171,0.7647059,0.372549,0.3913043,0.55172414,0.9233645,0.176,0.8698031,10.2,0.6319444,2015,55,FALSE
8,"Blake Griffin",25,"LAC",0,3,1300,0.002,0.8170732,0.9565217,0.7793594,0.745098,0.5196078,0.3913043,0.17241379,0.9383178,0.4,0.7964989,9,0.6354167,2015,56,FALSE
10,"Tim Duncan",38,"SAS",0,1,1300,0.001,0.9390244,0.7853261,0.4946619,0.8921569,0.2941176,0.3478261,0.68965517,0.9570093,0.286,0.809628,9.6,0.71875,2015,55,FALSE
10,"Kawhi Leonard",23,"SAS",0,1,1300,0.001,0.7804878,0.8641304,0.5871886,0.7058824,0.245098,1,0.27586207,0.8953271,0.349,0.8774617,8.6,0.7083333,2015,55,FALSE
10,"Klay Thompson",24,"GSW",0,1,1300,0.001,0.9390244,0.8668478,0.772242,0.3137255,0.2843137,0.4782609,0.27586207,0.8654206,0.439,0.9617068,8.8,0.5972222,2015,67,FALSE
1,"Stephen Curry",27,"GSW",131,1310,1310,1,0.9634146,0.8976378,1,0.5684211,0.6442308,1,0.1428571,0.9692308,0.454,1,17.9,1,2016,73,TRUE
2,"Kawhi Leonard",24,"SAS",0,634,1310,0.484,0.8780488,0.8687664,0.7043189,0.7157895,0.25,0.8571429,0.7142857,0.9730769,0.443,0.9625551,13.7,0.8710692,2016,67,FALSE
3,"LeBron James",31,"CLE",0,631,1310,0.482,0.9268293,0.9343832,0.8405316,0.7789474,0.6538462,0.6666667,0.4285714,1,0.309,0.8050661,13.6,0.7610063,2016,57,FALSE
4,"Russell Westbrook",27,"OKC",0,486,1310,0.371,0.9756098,0.9028871,0.7807309,0.8210526,1,0.952381,0.2142857,0.8730769,0.296,0.8942731,14,0.7704403,2016,55,FALSE
5,"Kevin Durant",27,"OKC",0,147,1310,0.112,0.8780488,0.9396325,0.9368771,0.8631579,0.4807692,0.4761905,0.8571429,0.9711538,0.387,0.9889868,14.5,0.8490566,2016,55,FALSE
6,"Chris Paul",30,"LAC",0,107,1310,0.082,0.902439,0.8582677,0.6478405,0.4421053,0.9615385,1,0.1428571,0.8884615,0.371,0.9867841,12.7,0.7955975,2016,53,FALSE
7,"Draymond Green",25,"GSW",0,50,1310,0.038,0.9878049,0.9107612,0.4651163,1,0.7115385,0.7142857,1,0.9423077,0.388,0.7665198,11.1,0.5974843,2016,73,FALSE
8,"Damian Lillard",25,"POR",0,26,1310,0.02,0.9146341,0.9370079,0.833887,0.4210526,0.6538462,0.4285714,0.2857143,0.8057692,0.375,0.9823789,9.2,0.5188679,2016,44,FALSE
